,title,abstract,authors,affiliation,subject,paper_type
10,Tetrahedral Microphones: An Effective A/B Main System,"A simple approach to produce an effective stereo main audio recording system using tetrahedral microphones is described, capturing a full array of close and distant sound with a substantial amount of early reflections. This allows for the easy possibility of later surround or 3D reproduction. Furthermore, the implementation of a pragmatic and simple two-microphone set-up can lead to an efficient capture of the stereo soundfield that has many applications. Particular attention was paid to binaural mixing of this microphone system to demonstrate an easy first step into immersive reproduction of the sound.","['Dobson, Alexander', 'Woszczyk, Wieslaw']","['McGill University, Montreal, QC, Canada']",Spatial Audio,Talk
11,On the Similarity between Feedback/Loopback Amplitude and Frequency Modulation,"This paper extends previous work in loopback frequency modulation (FM) to a similar system in which an oscillator is looped back to modulate its own amplitude, so called feedback amplitude modulation (FBAM). A continuous-time closed-form solution is presented for each, yielding greatly improved numerical properties, reduced dependency on sampling rate, and a more accurate representation of the feedback by eliminating the unit-sample delay required for discrete-time implementation. Producing similar waveforms, it is shown that FBAM for a known input frequency, is actually a scaled and offset version of loopback FM having a different carrier frequency but same sounding frequency. Two distinct representations are used to show mathematical equivalence between systems while validating the closed-form solution for each.","['Smyth, Tamara']","['University of California, San Diego, San Diego, CA, USA']",Audio Signal Processing,Talk
12,Concert Hall Acoustics' Influence on the Tempo of Musical Performances,"The acoustics of a concert hall is an integral and significant part of a musical performance as it affects the artistic decisions made by performer. Still, there are few systematic studies on the phenomenon. In this paper the effect of concert hall acoustics, mainly reverberation, on musical tempo for a selection of different genres and ensemble types is analyzed quantitatively. The study utilizes audio recordings made in a concert hall equipped with a movable ceiling enabling a variable volume and thus a variable reverberation time. The results show that there are cases where the tempo follows a change in acoustics as well as cases where it remains more or less unchanged.","['Berg, Jan']","['Luleå University of Technology, Piteå, Sweden']",Room Acoustics,Talk
13,Forensic Comparison of Simultaneous Recordings of Gunshots at a Crime Scene,"Audio forensic evidence is of increasing importance in law enforcement investigations because of the growing use in the United States of personal audio/video recorders carried by officers on duty, by bystanders, and by surveillance systems of businesses and residences. These recording systems capture speech, background environmental sounds, and in some cases, gunshots and other firearm sounds. When there are multiple audio recording devices near the scene of a gunfire incident, the similarities and differences of the various recordings can either help or hamper the audio forensic examiner’s efforts to describe the sequence of events. This paper considers several examples and provides recommendations for audio forensic examiners in the interpretation of this gunshot acoustic evidence.","['Maher, Robert C.', 'Hoerr, Ethan']","['Montana State University, Bozeman, MT, USA']",Semantic Audio,Talk
14,A Comparative Pilot Study and Analysis of Audio Mixing Using Logic Pro X and GarageBand for iOS,"In this pilot study we compare two mixes of a song done with GarageBand on iOS and Logic Pro X in a professional studio environment. The audio tracks are recorded and mastered in the same controlled environment by the same engineer. A blind listening survey was given to 10 laypersons and 10 professional studio engineers who have at least 10 years of related experience. 80% lay persons and 60% professional studio engineers reported a higher preference for the Logic Pro X version. To further compare these two productions, we look at (1) short-term perceptual loudness to quantify dynamic range and (2) power spectral densities in different frequency bands to quantify EQ. The analysis provides evidence to back the survey results. The purpose of this study is to examine how, in a real-life scenario, a professional studio engineer can produce the best results using the best plugins, effects, and tools available in GarageBand on iOS and Logic Pro X environment, and how these two results are comparatively perceived by both the general audience and professional audio experts.","['Wu, Jiayue Cecilia', 'Das, Orchisama', 'DiPasquale, Vincent']","['University of Colorado Denver, Denver, CO, USA', 'Center for Computer Research in Music and Acoustics (CRMA), Stanford University, Stanford, CA, USA']",Recording and Production,Poster
15,Sound Capture by Microphone Vibration inside Playback Devices,"Integration of voice capture into devices that formerly were used only as a sound source, or that now need to include the ability to interface with a variety of cloud-provided services available to users and/or expand voice control capability to otherwise simple devices has become commonplace, and integration of multiple microphones inside a case that houses playback transducers requires careful attention to certain design aspects as will be discussed in this article where a prototype of a ""Smart Speaker"" will be used as an example.","['De Oliveira, Rivanaldo']","['Qualcomm Technologies, Inc., San Diego, CA, USA']",Transducers,Talk
16,Alignment of Triple Chamber Eighth-Order Band-Pass Loudspeaker Systems,"An eighth-order band-pass loudspeaker system consisting of three vented chambers is analyzed. Since its frequency response has equal low-pass and high-pass cut-off slopes of fourth-order, the response function can be aligned to an eighth-order symmetric band-pass filter obtained by the frequency transformation method. For any desired frequency response, required system alignment parameters can be calculated by solving a system of equations. Design examples are presented and compared in terms of the mid-band attenuation factor and the diaphragm displacement.","['Dong, Hao', 'Shen, Yong', 'Chen, Rui']","['Nanjing University, Nanjing, China']",Transducers,Talk
17,Subjective Evaluation of Multichannel Audio and Stereo on Cell Phones,"With the increasing trend of using smart phones and other handheld electronic devices for accessing the internet, playback of audio in multichannel format would eventually gain popularity on such devices. Given the limited options for audio output on handheld electronic devices, it is important to know if multichannel audio offers an improvement in audio quality over other existing formats. This paper shows a subjective assessment test of multichannel audio versus stereo while played on a mobile phone using headphones. The results show that multichannel audio improves on perceived audio quality as compared to stereo.","['Toosy, Fesal', 'Ehsan, Muhammad Sarwar']","['University of Central Punjab, Lahore, Pakistan']",Perception,Poster
18,A Binaural Model to Estimate Room Impulse Responses from Running Signals and Recordings,"A binaural model is described that can use a multichannel signal to robustly localize a sound source in the presence of multiple reflections. The model also estimates a room impulse response from a running multichannel signal, e.g., from a recording, and determines the spatial locations and delays of early reflections, without any prior or additional knowledge of the source. A dual-layer cross-correlation/autocorrelation algorithm is used to determine the interaural time difference (ITD) of the direct sound source component and to estimate a binaural activity pattern. The model is able to accurately localize broadband signals in the presence of real room reflections.","['Braasch, Jonas', 'Dahlbom, David', 'Keil, Nate']","['Rensselear Polytechnic Institute, Troy, NY, USA']",Perception,Talk
19,Application of Modulated Musical Multitone Signal for Evaluation of Horn Driver Sound Quality,"This work introduces a new type of test signal called Modulated Musical Multitone (MMM): sinusoidal tones outlining E-minor triads in several octaves with amplitude modulation providing a variable crest factor which can match specific musical signals. Three different signals are used in the corresponding experiments including MMM, sinusoidal sweep, and music. An evaluation of sound quality is conducted for an FIR-filtered single horn driver. The effect of masking is observed when a matching linear low-pass channel is added to the signal. The multitone response is post-processed to obtain the distortion products spectrum.","['Voishvillo, Alexander', 'Kákonyi, Balázs', 'McLaughlin, Brian']","['Harman Professional Solutions, Northridge, CA, USA']",Transducers,Talk
20,Use of DNN-Based Beamforming Applied to Different Microphone Array Configurations,"Minimum variance distortionless response (MVDR) beamforming is one of the most popular multichannel signal processing techniques for dereverberation and/or noise reduction. However, the MVDR beamformer has the limitation that it must be designed to be dependent on the receiver array geometry. This paper demonstrates an experimental setup and results by designing a deep learning-based MVDR beamformer and applying it to different microphone array configurations. Consequently, it is shown that the deep learning-based MVDR beamformer provides more robust performance under mismatched microphone array configurations than the conventional statistical MVDR one.","['Kim, Tae Woo', 'Kim, Nam Kyun', 'Lee, Geon Woo', 'Park, Inyoung', 'Kim, Hong Kook']","['Gwangju Institute of Science and Technology (GIST), Gwangju, South Korea']",Audio Signal Processing,Poster
21,Accurate Reproduction of Binaural Recordings through Individual Headphone Equalization and Time Domain Crosstalk Cancellation,"We have developed software apps that allow a user to non-invasively match headphones to reproduce the identical spectrum at the eardrum as that from a frontal source. The result is correct timbre and forward localization without head tracking. In addition we have developed a non-individual crosstalk cancelling algorithm that creates virtual sound sources just outside a listener’s ears. Both systems reproduce binaural recordings with startling realism. The apps enable researchers and students to hear what acoustical features are essential for clarity, proximity, and preference. Listening to any type of music with our apps is beautiful and highly engaging.","['Griesinger, David']","['David Griesinger Acoustics, Cambridge, MA, USA']",Room Acoustics,Talk
22,Investigation of Masking Thresholds for Spatially Distributed Sound Sources,"For perceptual audio coding of immersive content, the investigation of masking effects between spatially distributed sound sources is of interest. We conducted subjective listening experiments to determine the masking thresholds for “tone-masking-noise” conditions when masker (1 kHz sine tone) and probe (1 kHz narrow band noise) are spatially distributed using an immersive 22.2 loudspeaker setup. Our results show masking thresholds in the range of –35 dB to –26 dB probe-to-masker-ratio. As expected, least masking was found between left/right opposed sources with up to 5 dB lower than for coincident sources. Other noteworthy observations included an increase of masking for certain elevations and cases of selective masking decrease due to interaural phase difference phenomena.","['Dick, Sascha', 'Sweidan, Rami', 'Herre, Jürgen']","['International Audio Laboratories Erlangen, a joint institution of Universität Erlangen-Nürnberg and Fraunhofer IIS, Erlangen, Germany', 'Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany', 'University of Stuttgart, Stuttgart, Germany']",Perception,Talk
23,The Effects of Spectators on the Speech Intelligibility Performance of Sound Systems in Stadia and Other Large Venues,"Stadiums and similar venues in the UK and throughout most of Europe are subject to strict safety standards and regulations, including the performance of their Public Address systems. The usual requirement is for the PA system to achieve a potential speech intelligibility performance of 0.50 STI, though some authorities and organizations require a higher value than this. However, a problem exists with measuring the performance of the system, as this can only be carried out in the empty stadium. The paper shows that with occupancy, the acoustic conditions change significantly, as the spectators introduce significant sound absorption and also increase the background noise level. The effect this can have on the intelligibility performance of the sound system is examined and discussed. The relationship between the unoccupied starting conditions and audience absorption and distribution are also investigated.","['Mapp, Peter', 'Hammond, Ross']","['Peter Mapp Associates, Colchester, Essex, UK', 'University of Derby, Derby, Derbyshire, UK']","Recording, Production, and Live Sound",Talk
24,A Dataset of High-Quality Object-Based Productions,"Object-based audio is an emerging paradigm for representing audio content. However, the limited availability of high-quality object-based content and the need for usable production and reproduction tools impede the exploration and evaluation of object-based audio. This engineering brief introduces the S3A object-based production dataset. It comprises a set of object-based scenes as projects for the Reaper digital audio workstation (DAW). They are accompanied by a set of open-source DAW plugins–—the VISR Production Suite—–for creating and reproducing object-based audio. In combination, these resources provide a practical way to experiment with object-based audio and facilitate loudspeaker and headphone reproduction. The dataset is provided to enable a larger audience to experience object-based audio, for use in perceptual experiments, and for audio system evaluation.","['Costantini, Giacomo', 'Franck, Andreas', 'Pike, Chris', 'Francombe, Jon', 'Woodcock, James', 'Hughes, Richard J.', 'Coleman, Philip', 'Whitmore, Eloise', 'Fazi, Filippo Maria']","['University of Southampton, Southampton, UK', 'BBC R&D, Salford, UK', 'University of Salford, Salford, UK', 'University of Surrey, Guildford, Surrey, UK', 'Naked Productions, Manchester, UK']",Recording and Production,Poster
25,Perceptual Weighting to Improve Coding of Harmonic Signals,"This paper describes a new approach to improving the coding of harmonic signals in transform-based audio codecs employing pulse vector quantization. The problem occurs when coding at low rate signals with varying levels of harmonics. As a result of vector quantization (VQ), some lower level harmonics may be missed or fluctuating and cause perceptual artifacts. The proposed solution consists of applying perceptual weighting to the computed synthesis error in the search loop of the VQ. The objective being to de-emphasize the error in the high tonal peaks where signal energy partially masks the quantization noise. Simulation results over mixed musical content showed a noticeable improvement in perceptual scores, particularly for highly harmonic signals.","['Nemer, Elias', 'Fejzo, Zoran', 'Thompson, Jeff']","['DTS/Xperi Corp., Calabasas, CA, USA']",Perception,Talk
26,Vibrary: A Consumer-Trainable Music Tagging Utility,"We present the engineering underlying a consumer application to help music industry professionals find audio clips and samples of personal interest within their large audio libraries typically consisting of heterogeneously-labeled clips supplied by various vendors. We enable users to train an indexing system using their own custom tags (e.g., instruments, genres, moods), by means of convolutional neural networks operating on spectrograms. Since the intended users are not data scientists and may not possess the required computational resources (i.e., Graphics Processing Units, GPUs), our primary contributions consist of (i) designing an intuitive user experience for a local client application to help users create representative spectrogram datasets, and (ii) ""seamless"" integration with a cloud-based GPU server for efficient neural network training.","['Hawley, Scott', 'Bagley, Jason', 'Porter, Brett', 'Traynham, Daisey']","['Belmont University, Nashville, TN, USA', 'Art+Logic, Pasadena, CA, USA', 'Art+Logic, Fanwood, NJ, USA']",Applications in Audio,Talk
27,Infinite Waveguide Termination by Series Solution in Finite Element Analysis,"The acoustics of an audio system may comprise of several components, e.g., a compression driver producing plane waves, a transition connecting to the throat of a horn, and a cylindrical horn which is baffled at the mouth. While finite elements/boundary elements can model the entire system, it is advantageous from the design perspective to consider simplified systems. A compression driver might be used in many situations and should be designed radiating plane waves, without cross modes, into a semi-infinite tube. The pressure field in the tube can be represented by a series that is coupled to the finite element mesh by a DtN approach. The method is generalized to cater for ducts of arbitrary cross section and infinite cylindrical horns.","['Macey, Patrick']","['PACSYS Limited, Nottingham, UK']",Transducers,Poster
28,"Just Noticeable Difference for Dynamic Range Compression via ""Limiting"" of a Stereophonic Mix","This study focused on the ability of listeners to discern the presence of dynamic range compression (DRC) when applied to a stereo recording. Past studies have primarily focused on listener preferences for stereophonic master recordings with varying levels of DRC. A modified two-down one-up adaptive test presented subjects with an increasingly “limited” stereophonic mix to determine the 70.7% response threshold. Results of this study suggest that DRC settings considered “normal” in recorded music production may be imperceptible when playback levels are loudness-matched. Outcomes of this experiment indicate the use of so-called “limiting” for commercial purposes, such as signal chain control, may have no influence on perceived quality; whereas, uses for perceived aesthetic advantages should be reconsidered.","['Hickman, Christopher', 'Bulla, Wesley']","['Belmont University, Nashville, TN, USA']",Perception,Poster
29,Evaluating Listener Preference of Flat-Panel Loudspeakers,"Three flat-panel loudspeakers and two conventional loudspeakers were evaluated in a blind listening test. Two of the flat-panel loudspeakers used in the test were prototypes employing both array-based excitation methods and constrained viscoelastic damping to eliminate modal resonant peaks in the mechanical response of the vibrating surface. The remaining flat-panel speaker was a commercially available unit. A set of 21 listeners reported average preference ratings of 7.00/10 and 6.81/10 for the conventional loudspeakers, 6.48/10 and 5.90/10 for the prototype flat-panel loudspeakers, and 2.24/10 for the commercial flat-panel speaker. The results are consistent with those given by a predictive model for listener preference rating, suggesting that designs aimed at smoothing the mechanical response of the panel lead to improved preference ratings.","['Roessner, Stephen', 'Heilemann, Michael', 'Bocko, Mark F.']","['University of Rochester, Rochester, NY, USA']",Transducers,Poster
30,Line Array Optimization through Innovative Multichannel Filtering,"Element dependent filtering offers the possibility to optimize the sound coverage of vertical line arrays: distance dependent frequency response, as well as mid-low frequency beaming and air absorption can be partially compensated. Simulation of array elements contributions to venue acoustics is normally the input data for filters calculation, but some phenomena exist in the real world that are hardly addressed by simulations: for example, the dispersion of transducers responses, as well as the acoustic paths atmospheric conditions, among different array elements. This awareness induced us to develop an algorithm with the aim of being robust against these inaccuracies.","['Martignon, Paolo', 'Di Cola, Mario', 'Chisari, Letizia']","['Contralto Audio srl, Casoli, Italy']",Audio Signal Processing,Talk
31,Acoustic Metamaterials in Loudspeaker Systems Design,"Materials have been used to control waves propagation ever since, and optics is a prime example. In Loudspeaker Systems applications, there have also been approaches in the attempt of controlling waves by acoustic lenses. Metamaterials are artificial structures, typically periodic, composed of small meta-atoms that, in the bulk, behave like continuous material with unconventional effective properties without the constraints normally imposed by nature. This talk offers the opportunity to share what can be done with acoustic metamaterials in audio industry, especially in Loudspeaker Systems Design. The presentation brings back some approaches from the past that can be revisited using today’s technologies. Moreover, this talk shows some of the already developed technologies that employ these extremely innovative materials.","['Chisari, Letizia', 'Di Cola, Mario', 'Martignon, Paolo']","['Contralto Audio srl, Casoli, Italy']",Transducers,Talk
32,Evaluation of Spatial Audio Quality of the Synthesis of Binaural Room Impulse Responses for New Object Positions,"The aim of auditory augmented reality is to create an auditory illusion combining virtual audio objects and scenarios with the perceived real acoustic surrounding. A suitable system like position-dynamic binaural synthesis is needed to minimize perceptual conflicts with the perceived real world. The needed binaural room impulse responses (BRIRs) have to fit the acoustics of the listening room. One approach to minimize the large number of BRIRs for all source-receiver relations is the synthesis of BRIRs using only one measurement in the listening room. The focus of the paper is the evaluation of the spatial audio quality. In most conditions differences in direct-to-reverberant-energy ratio between a reference and the synthesis is below the just noticeable difference. Furthermore, small differences are found for perceived overall difference, distance, and direction perception. Perceived externalization is comparable to the usage of measured BRIRs. Challenges are detected to synthesize more further away sources from a source position that is more close to the listening positions.","['Werner, Stephan', 'Klein, Florian', 'Müller, Clemens']","['Technische Universität Ilmenau, Ilmenau, Germany']",Spatial Audio,Poster
33,An Open Audio Processing Platform Using SoC FPGAs and Model-Based Development,"The development cycle for high performance audio applications using System-on-Chip (SoC) Field Programmable Gate Arrays (FPGAs) is long and complex. To address these challenges, an open source audio processing platform based on SoC FPGAs is presented. Due to their inherently parallel nature, SoC FPGAs are ideal for low latency, high performance signal processing. However, these devices require a complex development process. To reduce this difficulty, we deploy a model-based hardware/software co-design methodology that increases productivity and accessibility for non-experts. A modular multi-effects processor was developed and demonstrated on our hardware platform. This demonstration shows how a design can be constructed and provides a framework for developing more complex audio designs that can be used on our platform.","['Vannoy, Trevor', 'Davis, Tyler', 'Dack, Connor', 'Sobrero, Dustin', 'Snider, Ross']","['Montana State University, Bozeman, MT, USA', 'Flat Earth Inc., Bozeman, MT, USA']",Audio Signal Processing,Poster
34,A Case Study of Cultural Influences on Mixing Preference—Targeting Japanese Acoustic Major Students,"There is no clear rule in the process of mixing in popular music production, so even with the same music materials, different mix engineers may arrive at a completely different mix. In order to solve this highly multidimensional problem, some listening experiments of mixing preference have been conducted in Europe and North America in previous studies. In this study additional experiments targeting Japanese major students in the field of acoustics were conducted in an acoustically treated listening room, and we integrated the data with previous ones and analyzed them together. The result showed a tendency for both British students and Japanese students to prefer (or dislike) the same engineers’ works. Furthermore, an analysis of verbal descriptions for mixing revealed that they gave most attention to similar listening points, such as “vocal,” and “reverb.”","['Tajima, Toshiki', 'Kawahara, Kazuhiko']","['Kyushu University, Fukuoka, Japan']",Recording and Production,Poster
35,An Attempt to Elicit Horizontal and Vertical Auditory Precedence Percepts without Pinnae Cues,"This investigation was a continuation of AES-143 paper #9832 and AES-145 paper #10066 where reliable auditory precedence in the elevated, ear-level, and lowered horizontal planes was examined. This experiment altered and eliminated the spectral influences that govern the detection of elevation and presented two different horizontal and vertical inter-channel time delays during a precedence-suppression task. A robust precedence effect was elicited via ear-level horizontal plane loudspeakers. In contrast, leading signal identification was minimal in the vertical condition and no systematic influence of the leading elevated and lowered median plane loudspeakers was witnessed suggesting that precedence was not active in the vertical condition. Observed influences that might have been generated by the lead-lag signal in the vertical plane was not consistent with any known precedence paradigms.","['Bulla, Wesley', 'Mayo, Paul']","['Belmont University, Nashville, TN, USA', 'University of Maryland, College Park, MD, USA']",Perception,Talk
36,Measuring Speech Intelligibility Using Head-Oriented Binaural Room Impulse Responses,"Speech intelligibility/speech clarity is important in any setting in which information is verbally communicated. More specifically, a high level of speech intelligibility is crucial in classrooms to allow teachers to effectively communicate with their students. Given the importance of speech intelligibility in learning environments, several studies have analyzed how accurately the standard method of measuring clarity predicts the level of speech intelligibility in a room. In the context of speech measurements, C50 has been widely used to measure clarity. Instead of using a standard omnidirectional microphone to record room impulse responses for clarity measurements, this study examines the effectiveness of room impulse responses measured with a binaural dummy head. The data collected for this experiment show that C50 measurements differ between the left and right channels by varying amounts based on the dummy head’s position in the room and head orientation. To further investigate the effectiveness of binaural C50 measurements in comparison to the effectiveness of omnidirectional C50 measurements, this research explores the results of psychoacoustic testing to determine which recording method more consistently predicts human speech intelligibility. These results, combined with qualitative observations, predict how precisely acousticians are able to measure C50.","['Lam, Allison', 'Lee, Ming-Lun', 'Philbert, Steve']","['Tufts University, Medford, MA, USA', 'University of Rochester, Rochester, NY, USA']",Applications in Audio,Poster
37,Realizing an Acoustic Vector Network Analyzer,"Acoustic absorption, reflection, and transmission is typically measured using an impedance tube. We present the design and initial measurements of a radically different measurement system. The instrument builds on the rich history and deep mathematics developed in pursuit of electromagnetic Vector-corrected Network Analyzers (VNAs). Using acoustic directional couplers and a traditional VNA mainframe we assembled an “Acoustic Vector Network Analyzer” (AVNA). The instrument measures acoustic scattering parameters, the complex reflection and transmission coefficients, of materials, transmission lines, ported structures, ducts, etc. After the fashion of electromagnetic VNAs we have constructed millimeter-wave measurement heads that span the 800 Hz–2200 Hz (420–150 mm) and 10 kHz–22 kHz (35–15 mm) bands, demonstrating scalability. We present initial measurement results.","['MacDonell, Marcus', 'Scott, Jonathan']","['University of Waikato, Hamilton, Waikato, New Zealand']",Applications in Audio,Talk
